Assembly_Accession,tax_id,Species,Kingdom,Phylum,Class,FTP_path
GCF_000010525.1,438753,Azorhizobium caulinodans,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/525/GCF_000010525.1_ASM1052v1
GCF_000007365.1,198804,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/365/GCF_000007365.1_ASM736v1
GCF_000007725.1,224915,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/725/GCF_000007725.1_ASM772v1
GCF_000009605.1,107806,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/605/GCF_000009605.1_ASM960v1
GCF_000021065.1,561501,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/065/GCF_000021065.1_ASM2106v1
GCF_000021085.1,563178,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/085/GCF_000021085.1_ASM2108v1
GCF_000090965.1,372461,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/090/965/GCF_000090965.1_ASM9096v1
GCF_000183285.1,713601,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/285/GCF_000183285.1_ASM18328v1
GCF_000217635.1,261317,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/217/635/GCF_000217635.1_ASM21763v1
GCF_000225445.1,1005090,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/445/GCF_000225445.1_ASM22544v1
GCF_000225465.1,1005057,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/465/GCF_000225465.1_ASM22546v1
GCF_000521525.1,1009856,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/521/525/GCF_000521525.1_ASM52152v1
GCF_000521545.1,1009857,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/521/545/GCF_000521545.1_ASM52154v1
GCF_000521565.1,1009858,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/521/565/GCF_000521565.1_ASM52156v1
GCF_000521585.1,1009859,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/521/585/GCF_000521585.1_ASM52158v1
GCF_001280225.1,1265350,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/280/225/GCF_001280225.1_ASM128022v1
GCF_001648115.1,118110,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/648/115/GCF_001648115.1_ASM164811v1
GCF_001700895.1,118101,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/700/895/GCF_001700895.1_ASM170089v1
GCF_003096055.1,2173854,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/096/055/GCF_003096055.1_ASM309605v1
GCF_003099975.1,98794,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/099/975/GCF_003099975.1_ASM309997v1
GCF_003671935.1,118109,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/671/935/GCF_003671935.1_ASM367193v1
GCF_005080705.1,1241884,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/080/705/GCF_005080705.1_ASM508070v1
GCF_005080865.1,1241869,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/080/865/GCF_005080865.1_ASM508086v1
GCF_005080965.1,2315801,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/080/965/GCF_005080965.1_ASM508096v1
GCF_005081445.1,1241859,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/081/445/GCF_005081445.1_ASM508144v1
