Unnamed: 0,file,id,label,label_number,type
300001,32434,NZ_CP036456.1,Actinobacteria,2,Train
300002,144911,NZ_CP007558.1,Proteobacteria,0,Train
300003,50736,NZ_CP040369.1,Firmicutes,1,Train
300004,95,NC_017659.1,Proteobacteria,0,Test
300005,148039,NZ_CP012688.1,Proteobacteria,0,Train
300006,183607,NZ_CP021551.1,Proteobacteria,0,Train
300007,63080,NZ_CP014968.1,Proteobacteria,0,Test
300008,335209,NZ_CP021082.1,Deinococcus-Thermus,5,Train
300009,154968,NC_010258.1,Proteobacteria,0,Train
300010,168675,NZ_CP017105.1,Proteobacteria,0,Train
300011,48201,NZ_CP027859.1,Actinobacteria,2,Train
300012,35972,NZ_CP021814.1,Proteobacteria,0,Train
300013,141012,NZ_CP038953.1,Proteobacteria,0,Train
300014,215884,NZ_CP026800.1,Proteobacteria,0,Train
300015,294778,NZ_HG938356.1,Proteobacteria,0,Train
300016,352141,LR134125.1,Proteobacteria,0,Train
300017,112493,NZ_CP044075.1,Proteobacteria,0,Train
300018,265726,NZ_CP009967.1,Firmicutes,1,Test
300019,203600,NZ_CP023068.1,Proteobacteria,0,Train
300020,84321,NZ_AP014952.1,Proteobacteria,0,Train
300021,50176,NZ_CP035656.1,Firmicutes,1,Test
300022,233185,NZ_CP026517.1,Deinococcus-Thermus,5,Test
300023,104928,NC_011368.1,Proteobacteria,0,Train
300024,264574,NZ_CP003988.1,Actinobacteria,2,Train
300025,202207,NZ_CP019484.1,Proteobacteria,0,Train
300026,311826,NZ_CP048383.1,Proteobacteria,0,Train
300027,220387,NC_019849.2,Proteobacteria,0,Train
300028,183433,NZ_CP021542.1,Proteobacteria,0,Train
300029,321836,NZ_CP032695.1,Proteobacteria,0,Train
300030,359787,CP006583.2,Proteobacteria,0,Test
300031,213062,NZ_CP025457.1,Proteobacteria,0,Train
300032,174919,NC_019736.1,Cyanobacteria,6,Train
300033,174668,NZ_CP015092.1,Proteobacteria,0,Train
300034,99455,NZ_CP013491.1,Proteobacteria,0,Train
300035,166274,NC_009427.1,Proteobacteria,0,Train
300036,268711,NZ_CP009316.1,Firmicutes,1,Train
300037,123476,NZ_CP023959.1,Proteobacteria,0,Train
300038,213985,NZ_CP022999.1,Proteobacteria,0,Train
300039,241072,NZ_CP026527.1,Proteobacteria,0,Train
300040,351659,CP034573.1,Firmicutes,1,Train
300041,73965,NC_018291.1,Proteobacteria,0,Train
300042,254485,NZ_CP048067.1,Proteobacteria,0,Test
300043,134964,NZ_CP017866.1,Proteobacteria,0,Train
300044,224862,NZ_CP025613.1,Proteobacteria,0,Train
300045,182738,NZ_CP033103.1,Proteobacteria,0,Train
300046,198212,NZ_CP023064.1,Proteobacteria,0,Train
300047,14013,NZ_CP034087.1,Proteobacteria,0,Train
300048,326389,NZ_CP022783.1,Proteobacteria,0,Train
300049,108118,NZ_CP016451.1,Proteobacteria,0,Train
300050,324163,NZ_CP031796.1,Proteobacteria,0,Train
300051,31982,NZ_CP035508.1,Proteobacteria,0,Test
300052,88706,NZ_CP017451.1,Proteobacteria,0,Test
300053,200529,NZ_CP017461.1,Firmicutes,1,Test
300054,158942,NZ_CP046332.1,Proteobacteria,0,Train
300055,135058,NZ_CP017026.1,Proteobacteria,0,Train
300056,74278,NC_016149.1,other,9,Test
300057,170476,NZ_CP017268.1,Firmicutes,1,Train
300058,250800,NZ_CP047964.1,Proteobacteria,0,Train
300059,196498,NZ_CP022172.1,Proteobacteria,0,Train
300060,19375,NZ_LR135358.1,Firmicutes,1,Train
300061,81071,NC_017966.1,Proteobacteria,0,Test
300062,268727,NZ_CP010408.1,Actinobacteria,2,Train
300063,313942,NZ_CP010233.1,Proteobacteria,0,Train
300064,266364,NZ_CP009296.1,Proteobacteria,0,Train
300065,140708,NZ_CP013995.1,Firmicutes,1,Test
300066,232878,NZ_CP025013.1,Proteobacteria,0,Train
300067,270121,NZ_CP010856.1,Proteobacteria,0,Train
300068,92016,NZ_CP043439.1,Proteobacteria,0,Train
300069,279562,NC_009339.1,Actinobacteria,2,Train
300070,200578,NZ_CP017464.1,Firmicutes,1,Train
300071,359085,CP047137.1,Proteobacteria,0,Train
300072,282463,NC_011782.1,Spirochaetes,7,Train
300073,27647,NZ_CP035398.1,Firmicutes,1,Train
300074,329089,NZ_CP022756.1,Proteobacteria,0,Train
300075,69917,NZ_CP014450.1,Firmicutes,1,Train
300076,307036,NZ_CP017941.1,Proteobacteria,0,Train
300077,136484,NC_014390.1,Firmicutes,1,Test
300078,288299,NC_017407.1,Spirochaetes,7,Train
300079,65240,NZ_CP039468.1,Proteobacteria,0,Test
300080,68308,NZ_AP019795.1,Deinococcus-Thermus,5,Train
300081,326288,NZ_CP022791.1,Proteobacteria,0,Train
300082,359632,CP046512.1,Firmicutes,1,Train
300083,182953,NZ_CP040345.1,Firmicutes,1,Train
300084,83290,NZ_CP017932.1,Proteobacteria,0,Test
300085,137918,NZ_CP045953.1,Proteobacteria,0,Train
300086,210582,NZ_CP024882.1,Proteobacteria,0,Test
300087,276473,NZ_CP017286.1,Proteobacteria,0,Train
300088,255507,NC_017585.1,Actinobacteria,2,Train
300089,323159,NZ_CP031419.1,Actinobacteria,2,Train
300090,131703,NZ_CP043499.1,Proteobacteria,0,Train
300091,27176,NZ_CP035422.1,Proteobacteria,0,Train
300092,91193,NZ_CP033321.1,Proteobacteria,0,Train
300093,276555,NZ_CP017281.1,Proteobacteria,0,Train
300094,237335,NZ_CP028919.1,Proteobacteria,0,Train
300095,209359,NZ_CP024856.1,Proteobacteria,0,Train
300096,180218,NZ_CP019049.1,Proteobacteria,0,Test
300097,76618,NC_017323.1,Proteobacteria,0,Train
300098,68756,NZ_AP019717.1,Firmicutes,1,Train
300099,41885,NZ_CP037744.1,Proteobacteria,0,Train
300100,289574,NC_006625.1,Proteobacteria,0,Train
300101,60404,NZ_CP041095.1,Proteobacteria,0,Train
300102,31108,NZ_LR214986.1,other,9,Test
300103,77179,NC_017060.1,Proteobacteria,0,Test
300104,281693,NZ_LT963393.1,Proteobacteria,0,Train
300105,332282,NZ_CP022762.1,Proteobacteria,0,Train
300106,59034,NZ_CP023303.1,Firmicutes,1,Train
300107,205549,NZ_CP022661.1,Proteobacteria,0,Test
300108,94412,NZ_CP035808.1,Spirochaetes,7,Train
300109,174828,NC_019789.1,Deinococcus-Thermus,5,Train
300110,190656,NZ_CP021820.1,Proteobacteria,0,Test
300111,13108,NZ_CP034186.1,Deinococcus-Thermus,5,Train
300112,34581,NZ_CP037428.1,Bacteroidetes,8,Test
300113,48025,NZ_CP027859.1,Actinobacteria,2,Train
300114,5640,NZ_CP016354.1,Actinobacteria,2,Train
300115,122478,NZ_CP022092.1,Firmicutes,1,Train
300116,62300,NZ_LT598664.1,Firmicutes,1,Train
