id,rRNA-length,rRNA-bitscore,rRNA-count,OriT-identity,OriT-length,OriT-bitscore,OriT-count,IF-identity,IF-length,IF-bitscore,IF-count,Cir-alignment_a_mean,Cir-alignment_b_mean,Cir-mismatches mean,Cir-count,type
0_c,1484.0,1573.0999999999997,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17076.0,17084.0,528.0,11.0,Train
1_c,1541.0,1577.9142857142856,7.0,100.0,157.0,291.0,1.0,0.0,0.0,0.0,0.0,50152.0,50159.0,694.0,35.0,Train
2_c,1553.0,1624.9642857142856,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25763.0,25765.0,1248.0,5.0,Train
3_c,1535.0,1554.7750000000003,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13243.0,13242.0,23.0,4.0,Train
4_c,1517.0,1588.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26137.0,26177.0,2364.0,21.0,Train
6_c,1530.0,1539.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388892.0,388920.0,1013.0,366.0,Train
8_c,1205.6666666666667,1146.7666666666667,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7243.0,7246.0,76.0,8.0,Train
9_c,1539.0,1573.9625,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9892.0,9891.0,623.0,18.0,Train
10_c,1541.0,1581.3714285714286,7.0,100.0,57.0,106.0,1.0,0.0,0.0,0.0,0.0,6316.0,6381.0,248.0,16.0,Train
11_c,1520.0,1596.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1660.0,1661.0,104.0,2.0,Train
12_c,1528.0,1571.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8897.0,8901.0,4.0,1.0,Train
14_c,1535.0,1541.525,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13400.0,13427.0,1117.0,18.0,Train
16_c,1524.0,1511.3666666666668,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
18_c,1530.0,1539.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367370.0,367366.0,930.0,346.0,Train
19_c,1569.0,1623.72,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16230.0,16218.0,244.0,25.0,Train
20_c,1516.0,1521.8166666666666,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21255.0,21248.0,357.0,4.0,Train
22_c,1535.0,1603.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51617.0,51639.0,516.0,49.0,Train
24_c,1551.909090909091,1564.5999999999995,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17592.0,17593.0,231.0,3.0,Train
26_c,1540.0,1568.125,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98396.0,98342.0,3521.0,356.0,Train
27_c,1550.7692307692307,1651.9076923076923,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50219.0,50226.0,87.0,36.0,Train
28_c,1543.0,1577.3999999999999,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17691.0,17701.0,248.0,20.0,Train
29_c,1541.0,1581.2428571428572,7.0,94.737,57.0,89.8,1.0,0.0,0.0,0.0,0.0,17798.0,17878.0,591.0,28.0,Train
30_c,1531.75,1560.9750000000001,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10099.0,10100.0,88.0,8.0,Train
31_c,1532.0,1562.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5235.0,5235.0,682.0,6.0,Train
32_c,1532.0,1561.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
33_c,1534.0,1568.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19581.0,19599.0,1646.0,49.0,Train
34_c,1528.0,1560.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8324.0,8334.0,199.0,8.0,Train
