id,rRNA-length,rRNA-bitscore,rRNA-count,OriT-identity,OriT-length,OriT-bitscore,OriT-count,IF-identity,IF-length,IF-bitscore,IF-count,gcc-1,gcc-2,gcc-3,gcc-4,gcc-5,Cir-alignment_a_mean,Cir-alignment_b_mean,Cir-mismatches mean,Cir-count,type
0_c,1484.0,1573.0999999999997,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19201888784062207,0.30814557958107874,0.30687690644712295,0.19295862613117626,0.6150224860282016,17076.0,17084.0,528.0,11.0,Train
1_c,1539.0,1531.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30943370305445866,0.18904888442730727,0.19189440474754593,0.3096230077706882,0.3809432891748532,17830.0,17832.0,46.0,7.0,Train
2_c,1541.0,1577.9142857142856,7.0,100.0,157.0,291.0,1.0,0.0,0.0,0.0,0.0,0.2461543852272329,0.25430016442895814,0.25374984656665067,0.24579560377715823,0.5080500109956088,50152.0,50159.0,694.0,35.0,Train
3_c,1545.0,1575.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19592558770294138,0.30307801432844494,0.3061050955737432,0.19489130239487046,0.6091831099021882,73303.0,73308.0,2951.0,64.0,Train
4_c,1539.0,1573.65,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21261604355183436,0.2877551149956709,0.286670397167538,0.21295844428495667,0.5744255121632089,60763.0,60750.0,1572.0,65.0,Train
5_c,1530.0,1539.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1608388394726361,0.337797330306598,0.3392063864894003,0.16215744373136556,0.6770037167959984,338101.0,338141.0,839.0,311.0,Train
6_c,1553.0,1624.9642857142856,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2730934205613487,0.2267861704769374,0.22832147406294495,0.27179893489876894,0.45510764453988234,25763.0,25765.0,1248.0,5.0,Train
7_c,1535.0,1554.7750000000003,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17916956774437984,0.3219989962767023,0.32072470409007325,0.1781067318888446,0.6427237003667756,13243.0,13242.0,23.0,4.0,Train
8_c,1517.0,1588.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18751740924744387,0.31272400426230634,0.3123197217497499,0.18743886474049987,0.6250437260120563,26137.0,26177.0,2364.0,21.0,Train
9_c,1514.6666666666667,1531.6000000000001,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3474265102842761,0.15387613450260215,0.15806096795563485,0.3406363872574869,0.311937102458237,82.0,82.0,0.0,1.0,Train
10_c,1531.0,1537.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1861096055217591,0.31411621033102793,0.31277863362602354,0.1869955505211895,0.6268948439570514,187893.0,187889.0,486.0,171.0,Train
11_c,1550.0,1629.7000000000003,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3352930985296159,0.16222318516660206,0.15872857732169957,0.34375513898208243,0.3209517624883016,31561.0,31617.0,722.0,34.0,Train
12_c,1530.0,1539.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16227659293280464,0.33846539479452814,0.338668508753407,0.1605895035192602,0.6771339035479351,366264.0,366259.0,924.0,345.0,Train
13_c,1530.0,1539.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16214017564604855,0.3385144270934371,0.33858217823326475,0.1607632190272496,0.6770966053267018,388892.0,388920.0,1013.0,366.0,Train
14_c,1548.0,1610.1000000000001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309054531959012,0.18995345806370872,0.1935126107717503,0.3074793992055289,0.38346606883545903,252.0,252.0,35.0,1.0,Train
15_c,1550.5714285714287,1655.1785714285713,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3227749003639986,0.17742411539535424,0.17692871135919697,0.3228722728814502,0.3543528267545512,2971.0,2992.0,185.0,6.0,Train
16_c,1522.0,1552.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18057464183607386,0.3191643160405397,0.32011786800080805,0.1801431741225784,0.6392821840413477,12919.0,12918.0,348.0,10.0,Train
17_c,1205.6666666666667,1146.7666666666667,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19910830088152826,0.30087990092774464,0.3012940581056825,0.19870716239680652,0.6021739590334272,7243.0,7246.0,76.0,8.0,Train
18_c,1541.9,1569.08,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27091742456158335,0.23275453707481886,0.22988383280055358,0.2664442055630442,0.46263836987537243,18248.0,18248.0,212.0,8.0,Train
19_c,1541.0,1563.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2644757879659428,0.23331352822171386,0.23516213201836517,0.2670485517939782,0.46847566024007903,93.0,93.0,0.0,1.0,Train
20_c,1550.8,1617.28,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20777251512064843,0.2922004360555127,0.29170928635949167,0.20831776246434716,0.5839097224150044,49244.0,49330.0,981.0,25.0,Train
