id,rRNA-length,rRNA-bitscore,rRNA-count,OriT-identity,OriT-length,OriT-bitscore,OriT-count,IF-identity,IF-length,IF-bitscore,IF-count,a%,c%,g%,t%,gc-content,Cir-alignment_a_mean,Cir-alignment_b_mean,Cir-mismatches mean,Cir-count,type
0_c,1484.0,1573.0999999999997,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19201888784062207,0.30814557958107874,0.30687690644712295,0.19295862613117626,0.6150224860282016,17076.0,17084.0,528.0,11.0,Train
1_c,1541.0,1577.9142857142856,7.0,100.0,157.0,291.0,1.0,0.0,0.0,0.0,0.0,0.2461543852272329,0.25430016442895814,0.25374984656665067,0.24579560377715823,0.5080500109956088,50152.0,50159.0,694.0,35.0,Train
2_c,1553.0,1624.9642857142856,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2730934205613487,0.2267861704769374,0.22832147406294495,0.27179893489876894,0.45510764453988234,25763.0,25765.0,1248.0,5.0,Train
3_c,1535.0,1554.7750000000003,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17916956774437984,0.3219989962767023,0.32072470409007325,0.1781067318888446,0.6427237003667756,13243.0,13242.0,23.0,4.0,Train
4_c,1517.0,1588.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18751740924744387,0.31272400426230634,0.3123197217497499,0.18743886474049987,0.6250437260120563,26137.0,26177.0,2364.0,21.0,Train
5_c,1550.0,1629.7000000000003,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3352930985296159,0.16222318516660206,0.15872857732169957,0.34375513898208243,0.3209517624883016,31561.0,31617.0,722.0,34.0,Train
6_c,1530.0,1539.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16214017564604855,0.3385144270934371,0.33858217823326475,0.1607632190272496,0.6770966053267018,388892.0,388920.0,1013.0,366.0,Train
7_c,1550.5714285714287,1655.1785714285713,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3227749003639986,0.17742411539535424,0.17692871135919697,0.3228722728814502,0.3543528267545512,2971.0,2992.0,185.0,6.0,Train
8_c,1205.6666666666667,1146.7666666666667,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19910830088152826,0.30087990092774464,0.3012940581056825,0.19870716239680652,0.6021739590334272,7243.0,7246.0,76.0,8.0,Train
9_c,1539.0,1573.9625,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214204461519872,0.2858914383543096,0.28529306796116866,0.21461103216464972,0.5711845063154782,9892.0,9891.0,623.0,18.0,Train
10_c,1541.0,1581.3714285714286,7.0,100.0,57.0,106.0,1.0,0.0,0.0,0.0,0.0,0.2386230403001614,0.26116315445825944,0.2609201986718555,0.23929360656972365,0.522083353130115,6316.0,6381.0,248.0,16.0,Train
11_c,1520.0,1596.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13417598142836065,0.36471029469943167,0.365330480911974,0.13578324296023367,0.7300407756114057,1660.0,1661.0,104.0,2.0,Train
12_c,1528.0,1571.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20200277749184808,0.2982523784018605,0.2973578062001574,0.20238703790613405,0.5956101846020179,8897.0,8901.0,4.0,1.0,Train
13_c,1321.0,1393.4545454545457,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2672668986545181,0.23215993687535025,0.23259453130662106,0.2679786331635106,0.4647544681819713,2842.0,2842.0,45.0,1.0,Train
14_c,1535.0,1541.525,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21165936453575665,0.2886280068583625,0.28822025641201476,0.21149237219386607,0.5768482632703773,13400.0,13427.0,1117.0,18.0,Train
15_c,1541.0,1579.7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24628890557289815,0.25333735066714086,0.2538487786646646,0.24652496509529642,0.5071861293318054,43991.0,44029.0,462.0,32.0,Train
16_c,1524.0,1511.3666666666668,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1989614174314428,0.30072783378829626,0.30037378066188286,0.19993696811837805,0.6011016144501791,0.0,0.0,0.0,0.0,Train
17_c,1544.0,1573.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2409436317654381,0.26276615298371636,0.2570574423556984,0.2392327728951472,0.5198235953394148,15985.0,15978.0,822.0,16.0,Train
18_c,1530.0,1539.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16235064464073176,0.33848080438311884,0.3385672108244148,0.16060134015173458,0.6770480152075337,367370.0,367366.0,930.0,346.0,Train
19_c,1569.0,1623.72,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26866087325883425,0.231147916920473,0.23223263362048466,0.2679582504594573,0.46338055054095767,16230.0,16218.0,244.0,25.0,Train
20_c,1516.0,1521.8166666666666,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3205905529293204,0.17926230933244625,0.17954172051054915,0.32060541722768415,0.3588040298429954,21255.0,21248.0,357.0,4.0,Train
21_c,1539.0,1572.1750000000002,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2133483098784467,0.28686705114604766,0.28706045562357624,0.21272418335192944,0.5739275067696239,41419.0,41410.0,1615.0,39.0,Train
22_c,1535.0,1603.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.218490307114709,0.283245082449905,0.28106527132600273,0.21719933910938327,0.5643103537759078,51617.0,51639.0,516.0,49.0,Train
23_c,1527.0,1539.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3141163601612757,0.18418097836889374,0.18192664668491088,0.3197760147849197,0.3661076250538046,4445.0,4446.0,9.0,4.0,Train
24_c,1551.909090909091,1564.5999999999995,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27760324557036703,0.22261826720833297,0.22198319934185384,0.27779528787944613,0.44460146655018684,17592.0,17593.0,231.0,3.0,Train
25_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28167113559294155,0.21781867831015836,0.21784076835765198,0.28266941773924814,0.4356594466678103,17787.0,17820.0,42.0,2.0,Train
26_c,1540.0,1568.125,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24144105257635845,0.2572552834514285,0.26005588314605915,0.2412477808261539,0.5173111665974877,98396.0,98342.0,3521.0,356.0,Train
27_c,1550.7692307692307,1651.9076923076923,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3256322773586741,0.1732394001676018,0.17969733505992344,0.321430094965431,0.3529367352275252,50219.0,50226.0,87.0,36.0,Train
28_c,1543.0,1577.3999999999999,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24589328897756355,0.25460115065061123,0.253971071963365,0.24553448840846023,0.5085722226139762,17691.0,17701.0,248.0,20.0,Train
29_c,1541.0,1581.2428571428572,7.0,94.737,57.0,89.8,1.0,0.0,0.0,0.0,0.0,0.2380943997246041,0.2567397527609493,0.26538895628566855,0.23977689122877804,0.5221287090466178,17798.0,17878.0,591.0,28.0,Train
30_c,1531.75,1560.9750000000001,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16766225631253434,0.33193364789006197,0.3334570320468667,0.166947063750537,0.6653906799369287,10099.0,10100.0,88.0,8.0,Train
31_c,1532.0,1562.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1678960872354073,0.3344107944653166,0.330384633006506,0.1673084852927701,0.6647954274718226,5235.0,5235.0,682.0,6.0,Train
32_c,1532.0,1561.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1690449497153019,0.327672876085912,0.3341996697391602,0.1690825044596259,0.6618725458250723,0.0,0.0,0.0,0.0,Train
33_c,1534.0,1568.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18829101753295602,0.3122179950864033,0.3125050958951315,0.1869858914855092,0.6247230909815348,19581.0,19599.0,1646.0,49.0,Train
34_c,1528.0,1560.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15827442167937417,0.342998674605864,0.34043960079135493,0.1582569031874896,0.6834382753972189,8324.0,8334.0,199.0,8.0,Train
35_c,1540.4285714285713,1579.8428571428574,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23920348220038984,0.2622282545462084,0.26048998905466025,0.23807827419874147,0.5227182436008686,29130.0,29185.0,605.0,26.0,Train
36_c,1535.0,1606.4500000000003,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16740622596366384,0.33258736830084623,0.3324742793903448,0.16753212634514514,0.665061647691191,32622.0,32607.0,1170.0,13.0,Train
37_c,1319.75,1074.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28992083337451446,0.21079720100020755,0.20986716611154488,0.2894147995137331,0.4206643671117524,25332.0,25341.0,446.0,85.0,Train
38_c,1542.0,1612.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22929907606200503,0.2715582487679,0.2711618578131641,0.22798081735693088,0.5427201065810641,12909.0,12926.0,178.0,16.0,Train
39_c,1551.0,1627.8583333333336,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32308517649426166,0.17698662217214148,0.17703636503906128,0.3228918362945356,0.35402298721120273,17340.0,17371.0,136.0,7.0,Train
40_c,1512.0,1559.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349556416343871,0.1530516742496074,0.15082579326870071,0.34656611613782085,0.30387746751830813,2000.0,2000.0,2.0,14.0,Train
41_c,1530.0,1544.4666666666665,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16483936318040976,0.33498630260227147,0.3356410990729246,0.16453323514439414,0.6706274016751961,3356.0,3356.0,101.0,3.0,Train
42_c,1517.6666666666667,1447.5333333333335,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3293633810797019,0.17032578225210399,0.16501371373849646,0.33529712292969766,0.3353394959906004,18394.0,18402.0,86.0,8.0,Train
43_c,1483.0,1591.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21354644475914258,0.28260009843972533,0.2902709913646094,0.21358095407942987,0.5728710898043348,2739.0,2738.0,17.0,1.0,Train
44_c,1511.3333333333333,1534.3999999999999,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26370352760703536,0.23683901289184636,0.23634922610784254,0.26310823339327577,0.47318823899968887,3067.0,3068.0,79.0,5.0,Train
45_c,1488.0,1573.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17550859255357967,0.325534962541559,0.3240370964430622,0.17491934846179907,0.6495720589846212,30551.0,30543.0,1145.0,42.0,Train
46_c,1539.0,1570.7875000000001,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22064305556232822,0.27935174303784505,0.27978394685469726,0.22022125454512945,0.5591356898925424,42167.0,42197.0,597.0,31.0,Train
