Accession,tax_id,Species,Kingdom,Phylum,Class,Length,Description
CP049043.1,1591409,Pseudohalocynthiibacter aestuariivivens,Bacteria,Proteobacteria,Alphaproteobacteria,62083,"Pseudohalocynthiibacter aestuariivivens strain RR4-35 plasmid pRR4-35_6, complete sequence"
CP049042.1,1591409,Pseudohalocynthiibacter aestuariivivens,Bacteria,Proteobacteria,Alphaproteobacteria,90429,"Pseudohalocynthiibacter aestuariivivens strain RR4-35 plasmid pRR4-35_5, complete sequence"
CP049041.1,1591409,Pseudohalocynthiibacter aestuariivivens,Bacteria,Proteobacteria,Alphaproteobacteria,126025,"Pseudohalocynthiibacter aestuariivivens strain RR4-35 plasmid pRR4-35_4, complete sequence"
CP049040.1,1591409,Pseudohalocynthiibacter aestuariivivens,Bacteria,Proteobacteria,Alphaproteobacteria,136456,"Pseudohalocynthiibacter aestuariivivens strain RR4-35 plasmid pRR4-35_3, complete sequence"
CP049039.1,1591409,Pseudohalocynthiibacter aestuariivivens,Bacteria,Proteobacteria,Alphaproteobacteria,140737,"Pseudohalocynthiibacter aestuariivivens strain RR4-35 plasmid pRR4-35_2, complete sequence"
CP049038.1,1591409,Pseudohalocynthiibacter aestuariivivens,Bacteria,Proteobacteria,Alphaproteobacteria,168707,"Pseudohalocynthiibacter aestuariivivens strain RR4-35 plasmid pRR4-35_1, complete sequence"
CP049036.1,2552766,Fluviibacterium aquatile,Bacteria,Proteobacteria,Alphaproteobacteria,6831,"Fluviibacterium aquatile strain SC52 plasmid pSC52_8, complete sequence"
CP049035.1,2552766,Fluviibacterium aquatile,Bacteria,Proteobacteria,Alphaproteobacteria,14858,"Fluviibacterium aquatile strain SC52 plasmid pSC52_7, complete sequence"
CP049034.1,2552766,Fluviibacterium aquatile,Bacteria,Proteobacteria,Alphaproteobacteria,60660,"Fluviibacterium aquatile strain SC52 plasmid pSC52_6, complete sequence"
CP049033.1,2552766,Fluviibacterium aquatile,Bacteria,Proteobacteria,Alphaproteobacteria,65203,"Fluviibacterium aquatile strain SC52 plasmid pSC52_5, complete sequence"
CP049032.1,2552766,Fluviibacterium aquatile,Bacteria,Proteobacteria,Alphaproteobacteria,101226,"Fluviibacterium aquatile strain SC52 plasmid pSC52_4, complete sequence"
CP049031.1,2552766,Fluviibacterium aquatile,Bacteria,Proteobacteria,Alphaproteobacteria,273781,"Fluviibacterium aquatile strain SC52 plasmid pSC52_3, complete sequence"
CP049030.1,2552766,Fluviibacterium aquatile,Bacteria,Proteobacteria,Alphaproteobacteria,352381,"Fluviibacterium aquatile strain SC52 plasmid pSC52_2, complete sequence"
