id,rRNA-length,rRNA-bitscore,rRNA-count,OriT-identity,OriT-length,OriT-bitscore,OriT-count,IF-identity,IF-length,IF-bitscore,IF-count,Cir-alignment_a_mean,Cir-alignment_b_mean,Cir-mismatches mean,Cir-count,type
0_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
2_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
3_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,452.5,836.0,2.0,0.0,0.0,0.0,0.0,Train
4_p,0.0,0.0,0.0,97.2415,232.0,400.5,2.0,0.0,0.0,0.0,0.0,1620.0,1619.0,69.0,5.0,Train
6_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.0,794.0,62.0,2.0,Train
7_p,1462.0,1539.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
8_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,875.0,1616.0,1.0,0.0,0.0,0.0,0.0,Train
10_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
11_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,570.0,1053.0,1.0,6502.0,6503.0,171.0,7.0,Train
12_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
13_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
15_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
16_p,0.0,0.0,0.0,94.31800000000001,82.5,128.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
17_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
18_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10356.0,10392.0,107.0,11.0,Train
19_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.0,557.0,3.0,1.0,Train
20_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
22_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
23_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
24_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
25_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
26_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,529.0,977.0,1.0,0.0,0.0,0.0,0.0,Train
27_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.849,664.0,1219.0,1.0,0.0,0.0,0.0,0.0,Train
28_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.0,1029.0,15.0,2.0,Train
30_p,0.0,0.0,0.0,100.0,593.0,1096.0,1.0,100.0,327.0,604.0,1.0,0.0,0.0,0.0,0.0,Train
31_p,0.0,0.0,0.0,96.078,102.0,167.0,1.0,100.0,142.0,263.0,1.0,499.0,497.0,56.0,1.0,Train
32_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1008.0,1.0,1.0,Train
34_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
35_p,0.0,0.0,0.0,100.0,81.0,150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
36_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,276.0,5.0,1.0,Train
37_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
38_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,219.66666666666666,406.3333333333333,3.0,0.0,0.0,0.0,0.0,Train
39_p,0.0,0.0,0.0,100.0,550.0,1016.0,1.0,100.0,261.0,483.0,1.0,0.0,0.0,0.0,0.0,Train
40_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
41_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
42_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
43_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
44_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,560.0,1035.0,1.0,0.0,0.0,0.0,0.0,Train
46_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,354.0,654.5,2.0,3551.0,3557.0,172.0,6.0,Train
47_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
48_p,0.0,0.0,0.0,100.0,450.0,832.0,1.0,100.0,324.5,600.0,2.0,1876.0,1876.0,69.0,3.0,Train
50_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9336.0,9336.0,1.0,6.0,Train
53_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3173.0,3172.0,85.0,4.0,Train
54_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
55_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,393.0,0.0,1.0,Train
57_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1641.0,1641.0,2.0,2.0,Train
58_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
59_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7669.0,7670.0,106.0,15.0,Train
61_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2614.0,2592.0,126.0,2.0,Train
62_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
64_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15563.0,15538.0,432.0,15.0,Train
65_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
67_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771.0,1770.0,48.0,2.0,Train
68_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
70_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
71_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
72_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34181.0,34125.0,325.0,65.0,Train
73_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,295.0,545.0,1.0,0.0,0.0,0.0,0.0,Train
76_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3106.0,3104.0,257.0,10.0,Train
77_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
79_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
81_p,0.0,0.0,0.0,100.0,450.0,832.0,1.0,0.0,0.0,0.0,0.0,2666.0,2666.0,147.0,3.0,Train
83_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45365.0,45392.0,1460.0,30.0,Train
84_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16837.0,16731.0,135.0,1.0,Train
85_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9983.0,9985.0,29.0,9.0,Train
86_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2194.0,2191.0,24.0,3.0,Train
87_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10390.0,10364.0,97.0,4.0,Train
88_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.0,624.0,24.0,2.0,Train
89_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57264.0,57283.0,698.0,114.0,Train
90_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
91_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
92_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,258.0,32.0,1.0,Train
93_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
94_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7238.0,7259.0,45.0,9.0,Train
95_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2518.0,2518.0,12.0,4.0,Train
97_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
98_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
99_p,0.0,0.0,0.0,96.078,102.0,167.0,1.0,100.0,137.0,254.0,1.0,848.0,852.0,63.0,2.0,Train
100_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1167.0,1166.0,5.0,1.0,Train
101_p,1509.0,1508.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4353.0,4353.0,9.0,4.0,Train
102_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
103_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
106_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
107_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4261.0,4262.0,13.0,2.0,Train
108_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
