id,rRNA-length,rRNA-bitscore,rRNA-count,OriT-identity,OriT-length,OriT-bitscore,OriT-count,IF-identity,IF-length,IF-bitscore,IF-count,a%,c%,g%,t%,gc-content,Cir-alignment_a_mean,Cir-alignment_b_mean,Cir-mismatches mean,Cir-count,type
0_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30998993567584127,0.1823480505841684,0.16201811578348577,0.34564389795650463,0.34436616636765416,0.0,0.0,0.0,0.0,Train
1_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2512663434063555,0.24958870897913238,0.24114641960342886,0.2579985280110832,0.49073512858256124,0.0,0.0,0.0,0.0,Train
2_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20040902068444277,0.2890042346978471,0.30539840615309377,0.20518833846461637,0.5944026408509409,0.0,0.0,0.0,0.0,Train
3_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,452.5,836.0,2.0,0.2375390321102384,0.2560613003953833,0.27498854347617574,0.23130455170355846,0.531049843871559,0.0,0.0,0.0,0.0,Train
4_p,0.0,0.0,0.0,97.2415,232.0,400.5,2.0,0.0,0.0,0.0,0.0,0.25280673026954414,0.2539245197917382,0.24609999313638012,0.24716875680233755,0.5000245129281183,1620.0,1619.0,69.0,5.0,Train
5_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31472107982705894,0.1882104819150058,0.14224401560687547,0.35481387746493726,0.3304544975218813,0.0,0.0,0.0,0.0,Train
6_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34775328836153463,0.15353468678054513,0.17087405213079387,0.3278379727271264,0.32440873891133903,786.0,794.0,62.0,2.0,Train
7_p,1462.0,1539.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19379807351398962,0.3060955629616084,0.30711814561726297,0.19298821790713905,0.6132137085788714,0.0,0.0,0.0,0.0,Train
8_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,875.0,1616.0,1.0,0.2621033493899125,0.2442693006953686,0.2620096339474819,0.23161771596723707,0.5062789346428505,0.0,0.0,0.0,0.0,Train
9_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2682095636606777,0.21859025516036495,0.25743588637491105,0.25576429480404633,0.476026141535276,0.0,0.0,0.0,0.0,Train
10_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25603197674418604,0.2405107973421927,0.23686669435215946,0.2665905315614618,0.4773774916943522,0.0,0.0,0.0,0.0,Train
