id,rRNA-length,rRNA-bitscore,rRNA-count,OriT-identity,OriT-length,OriT-bitscore,OriT-count,IF-identity,IF-length,IF-bitscore,IF-count,gcc-1,gcc-2,gcc-3,gcc-4,gcc-5,Cir-alignment_a_mean,Cir-alignment_b_mean,Cir-mismatches mean,Cir-count,type
0_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3556202833311267,0.15119819939097048,0.17820733483384085,0.31497418244406195,0.32940553422481134,0.0,0.0,0.0,0.0,Train
1_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30998993567584127,0.1823480505841684,0.16201811578348577,0.34564389795650463,0.34436616636765416,0.0,0.0,0.0,0.0,Train
2_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2512663434063555,0.24958870897913238,0.24114641960342886,0.2579985280110832,0.49073512858256124,0.0,0.0,0.0,0.0,Train
3_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20040902068444277,0.2890042346978471,0.30539840615309377,0.20518833846461637,0.5944026408509409,0.0,0.0,0.0,0.0,Train
4_p,0.0,0.0,0.0,98.8635,96.5,176.4,2.0,0.0,0.0,0.0,0.0,0.3510367686733986,0.1568257149464272,0.1335851383642951,0.35855237801587914,0.29041085331072225,797.0,795.0,5.0,1.0,Train
5_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20999854672286006,0.2620258683330911,0.2627525069030664,0.26522307804098244,0.5247783752361574,0.0,0.0,0.0,0.0,Train
6_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33633410512492656,0.16708712029581504,0.18135950513183813,0.31521926944742024,0.34844662542765314,0.0,0.0,0.0,0.0,Train
7_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3025335570469799,0.20271812080536913,0.19744966442953021,0.2972986577181208,0.4001677852348994,0.0,0.0,0.0,0.0,Train
8_p,0.0,0.0,0.0,100.0,149.0,276.0,1.0,0.0,0.0,0.0,0.0,0.3564527260179434,0.15614216701173222,0.12952898550724637,0.357876121463078,0.28567115251897857,1658.0,1659.0,1.0,1.0,Train
9_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36131213667101675,0.14186143077470637,0.19352829517143197,0.30329813738284495,0.33538972594613836,342.0,341.0,5.0,3.0,Train
10_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3292021373859688,0.1795038501391739,0.17186452386273593,0.31942948861212134,0.3513683740019098,1379.0,1379.0,20.0,2.0,Train
11_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2750466708151836,0.22153080273802117,0.23522090852520225,0.268201617921593,0.45675171126322345,0.0,0.0,0.0,0.0,Train
12_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,452.5,836.0,2.0,0.2375390321102384,0.2560613003953833,0.27498854347617574,0.23130455170355846,0.531049843871559,0.0,0.0,0.0,0.0,Train
13_p,0.0,0.0,0.0,97.2415,232.0,400.5,2.0,0.0,0.0,0.0,0.0,0.25280673026954414,0.2539245197917382,0.24609999313638012,0.24716875680233755,0.5000245129281183,1620.0,1619.0,69.0,5.0,Train
14_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31472107982705894,0.1882104819150058,0.14224401560687547,0.35481387746493726,0.3304544975218813,0.0,0.0,0.0,0.0,Train
15_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1968526217269225,0.30799033585094576,0.3070108612846353,0.18814618113749645,0.6150011971355811,0.0,0.0,0.0,0.0,Train
16_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34775328836153463,0.15353468678054513,0.17087405213079387,0.3278379727271264,0.32440873891133903,786.0,794.0,62.0,2.0,Train
17_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,233.0,431.0,1.0,0.25191570881226055,0.20977011494252873,0.2629310344827586,0.2753831417624521,0.47270114942528735,0.0,0.0,0.0,0.0,Train
18_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1470144006666493,0.35679409390380457,0.35004296763105125,0.14614853779849482,0.7068370615348558,0.0,0.0,0.0,0.0,Train
19_p,0.0,0.0,0.0,100.0,269.0,497.0,2.0,0.0,0.0,0.0,0.0,0.24051871788597995,0.24321017861512112,0.25568876926841205,0.26058233423048693,0.4988989478835332,0.0,0.0,0.0,0.0,Train
20_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.279898505779532,0.21790245277699463,0.1986749365661122,0.30352410487736114,0.41657738934310684,1693.0,1694.0,15.0,2.0,Train
